delta/B 5T2g 5Eg 3T1g 3T2g 3Eg 3T1g 3T1g 3T2g 3T1g 3A2g 3T2g 3Eg 3T1g 3A1g 1A1g 1T1g 1T2g 1A2g 1T2g 1Eg 3T2g 3Eg 1A1g 1T1g 1Eg 1T2g 1A1g 1T2g 1Eg 1A2g 1T2g 1T1g 3A2g 3T1g 3T2g 3T1g 1T2g 1Eg 1T1g 1A1g 1Eg 1T2g 1A1g
 5.55555556 0 5.55555556 18.3812083 20.7241093 24.9895009 22.7712861 25.9673028 25.0177167 29.2231222 29.2709667 28.9224361 29.9350796 34.1041787 32.237037 24.4067704 28.4448991 32.1021148 36.5577204 36.2253676 34.3847815 35.0266046 38.230975 35.2028806 36.9612833 39.6557833 40.7184444 44.7978537 42.448175 47.6566231 49.0422796 50.8919315 50.6474157 56.908663 57.0209981 58.5332065 60.491163 63.2575648 67.3055796 67.8519574 69.3664574 84.7972324 88.2008481 113.016779
 6.11111111 0 6.11111111 17.9155287 20.4877343 25.1793472 22.7730019 26.0604009 24.9412222 29.7491667 29.6843685 29.2200472 30.3585981 34.9319398 32.7925926 23.417863 27.9470296 32.0221685 36.9063583 36.3644454 34.4078546 35.2407639 38.7287213 35.2549398 37.2014426 40.2324769 41.0743935 45.3703139 42.6885148 48.1610343 49.2491972 51.4218685 51.0009611 57.0508167 57.20235 58.889862 60.993538 63.2980287 67.810738 68.3116778 69.9396593 84.854563 88.6416898 113.36352
 6.66666667 0 6.66666667 17.4422935 20.2314981 25.3481481 22.7747981 26.1457287 24.8714833 30.2792333 30.0934333 29.4967815 30.7984444 35.7491546 33.3481481 22.4203491 27.4450454 31.9343093 37.2431824 36.4583315 34.4274981 35.4785065 39.2311852 35.3015111 37.4337074 40.8003574 41.3793093 45.9486148 42.9756037 48.6498389 49.4679287 51.9864815 51.3621667 57.1973074 57.3989361 59.2569167 61.5024481 63.3519259 68.3418537 68.7757472 70.5082231 84.9137861 89.0918157 113.723154
 7.22222222 0 7.22222222 16.9627917 19.9567602 25.4982944 22.7767176 26.2248019 24.8084398 30.8118611 30.4980333 29.7507824 31.2527269 36.5532657 33.9037037 21.4154009 26.939513 31.8378315 37.5678472 36.5102407 34.4444917 35.7410194 39.7378676 35.3433204 37.6578306 41.35895 41.6439287 46.5312806 43.2993454 49.122625 49.6988194 52.5821583 51.7309676 57.348263 57.6118685 59.6337389 62.0179519 63.4197296 68.8989037 69.2439111 71.0715676 84.9750296 89.5512093 114.095838
 7.77777778 0 7.77777778 16.4779991 19.6648741 25.6320741 22.7787556 26.2987194 24.7517704 31.3460472 30.8980417 29.9811222 31.7195972 37.3419713 34.4592593 20.4039528 26.4308759 31.7319676 37.8800704 36.5246954 34.4593852 36.0287981 40.2483287 35.3809991 37.8737056 41.9079509 41.8785843 47.1171241 43.649387 49.5792296 49.9421519 53.2045 52.1072648 57.5038102 57.8422917 60.0197315 62.5401426 63.5021213 69.4816602 69.7159315 71.6291639 85.0384398 90.0198556 114.481723
 8.33333333 0 8.33333333 15.9886694 19.3571491 25.751588 22.7808907 26.3682935 24.7010083 31.8810806 31.2933296 30.187738 32.1973407 38.1131537 35.0148148 19.3867593 25.9194898 31.6159019 38.179637 36.506975 34.4725796 36.3416259 40.7621824 35.4150898 38.0813287 42.447138 42.0904435 47.705187 44.0181185 50.0197361 50.1981407 53.8485509 52.4909287 57.6640778 58.0913583 60.4143306 63.0691472 63.6000454 70.0896944 70.1915852 72.1805352 85.1041861 90.4977417 114.880946
 8.88888889 0 8.88888889 15.4953935 19.0348287 25.8587056 22.7830972 26.434137 24.6556269 32.4164398 31.6837713 30.3713102 32.6844278 38.8648472 35.5703704 18.3644444 25.4056454 31.4887889 38.4664093 36.4625963 34.4843731 36.6786352 41.2790889 35.4460556 38.2807731 42.976325 42.2835222 48.2946889 44.4009204 50.444462 50.4669241 54.5089852 52.8818046 57.8291917 58.3602111 60.8170065 63.6051324 63.7147741 70.7223778 70.6706657 72.7252528 85.1724611 90.9848565 115.293632
 9.44444444 0 9.44444444 14.9986454 18.6990769 25.955063 22.78535 26.496725 24.6150852 32.951725 32.0692398 30.5331074 33.1795241 39.5952306 36.1259259 17.3375296 24.8895824 31.3497759 38.7403306 36.3969083 34.4949954 37.0384333 41.7987472 35.4742898 38.4721713 43.4953287 42.4598676 48.8849889 44.7951639 50.85395 50.7485583 55.1802185 53.279712 57.9992787 58.64995 61.2272602 64.1483 63.847988 71.3788981 71.1529778 73.2629306 85.2434944 91.481188 115.719891
 10 0 10 14.4988093 18.350962 26.0420713 22.7876278 26.5564296 24.5788611 33.4866111 32.4496093 30.6748 33.6814815 40.3026315 36.6814815 16.3064537 24.3715074 31.1980306 39.001425 36.3148472 34.5046269 37.4192694 42.3208917 35.5001278 38.6556991 44.0039463 42.6206407 49.4755611 45.1992259 51.2489417 51.0430194 55.8564407 53.6844528 58.1744648 58.9615954 61.6446259 64.698888 64.001862 72.0582648 71.6383417 73.7932259 85.3175537 91.9867287 116.159817
 10.5555556 0 10.5555556 13.9962019 17.9914667 26.1209398 22.789912 26.61355 24.5464667 34.020825 32.8247583 30.7982769 34.1893259 40.9855519 37.237037 15.2715935 23.8515926 31.0327741 39.2497981 36.2208139 34.5134083 37.8191981 42.8452889 35.5238565 38.8315657 44.5019407 42.7667602 50.0659676 45.611875 51.6303602 51.3502019 56.5315954 54.0958111 58.3548713 59.2960435 62.0686648 65.257175 64.1791565 72.7593278 72.126587 74.315838 85.394963 92.5014694 116.613485
 11.1111111 0 11.1111111 13.4910898 17.6214787 26.1927019 22.792188 26.6683306 24.5174602 34.5541213 33.1945648 30.9054981 34.7022333 41.6426926 37.7925926 14.233275 23.3299907 30.8533065 39.4856352 36.1186278 34.5214565 38.2362222 43.3717315 35.5457204 39.0000046 44.9890343 42.8991657 50.6558417 46.0319889 51.9992815 51.6699204 57.1993269 54.5135602 58.5406204 59.6540278 62.4989694 65.8234769 64.3832917 73.4807806 72.6175556 74.8305028 85.4761139 93.0254037 117.080956
 11.6666667 0 11.6666667 12.9836954 17.2418074 26.258237 22.7944435 26.7209731 24.4914426 35.0862676 33.5589139 30.9983778 35.2195074 42.2729935 38.3481481 13.1917815 22.8068343 30.6590463 39.7091926 36.0115343 34.5288639 38.6684009 43.9000333 35.5659278 39.1612694 45.4649028 43.0188852 51.2448759 46.4584583 52.3569111 52.0019185 57.8529611 54.9374639 58.7318269 60.0360685 62.9351583 66.39815 64.6183667 74.2211648 73.1110991 75.3369954 85.5614907 93.5585259 117.562271
 12.2222222 0 12.2222222 12.474213 16.8531796 26.3182954 22.7966713 26.77165 24.4680611 35.6170361 33.9176898 31.0787102 35.740562 42.8756694 38.9037037 12.1473593 22.282238 30.4495537 39.9207917 35.9022324 34.5357093 39.1139167 44.4300315 35.5846593 39.3156231 45.9291722 43.1270046 51.8328093 46.8901778 52.7045565 52.345875 58.4855704 55.3672815 58.9286065 60.4424324 63.3768731 66.981587 64.889075 74.978862 73.6070796 75.8351296 85.6516991 94.1008306 118.05745
 12.7777778 0 12.7777778 11.9628074 16.4562556 26.3735194 22.7988639 26.8205056 24.4470065 36.1461935 34.2707852 31.1481315 36.2649009 43.4502361 39.4592593 11.1002287 21.7563065 30.2245472 40.1208093 35.7929157 34.5420574 39.5711185 44.9615796 35.6020722 39.4633361 46.3814222 43.2246204 52.4194176 47.3260648 53.0436046 52.701413 59.0902278 55.8027667 59.1310667 60.8730981 63.8237843 67.5742222 65.2004204 75.7520731 74.1053685 76.3247528 85.7475102 94.6523148 118.566492
 13.3333333 0 13.3333333 11.4496231 16.0516324 26.4244583 22.8010157 26.8676657 24.4280056 36.6734917 34.6180954 31.2080991 36.7921065 43.9965435 40.0148148 10.0505824 21.2291315 29.9839241 40.3096694 35.6853176 34.5479639 40.0385352 45.4945472 35.6183009 39.6046833 46.8211889 43.3127954 53.0045083 47.765075 53.3754898 53.0681083 59.6605 56.2436769 59.339312 61.3277306 64.2755787 68.1765231 65.5571935 76.5387694 74.6058417 76.8057491 85.8499213 95.2129731 119.089379
 13.8888889 0 13.8888889 10.934787 15.63985 26.4715843 22.8031241 26.9132407 24.4108213 37.198663 34.9595231 31.2598944 37.3218222 44.5147824 40.5703704 8.99859537 20.7007954 29.72775 40.4878315 35.5807602 34.5534741 40.5148713 46.0288157 35.633462 39.7399389 47.2479778 43.392525 53.587913 48.2062194 53.701675 53.4455019 60.1911722 56.6897667 59.5534398 61.8056704 64.7319704 68.7889917 65.9632139 77.3366204 75.108388 77.2780352 85.9602519 95.7828046 119.626069
 14.4444444 0 14.4444444 10.418413 15.2213991 26.5153056 22.8051852 26.9573287 24.3952444 37.7214111 35.294975 31.3046324 37.8537463 45.0054917 41.1259259 7.9444213 20.1713741 29.4562565 40.6557806 35.4802046 34.5586296 40.9989991 46.5642815 35.6476602 39.8693731 47.6612713 43.464725 54.1694843 48.6485639 54.0236204 53.8331083 60.6790389 57.1407963 59.7735435 62.3059389 65.192687 69.4121565 66.4205176 78.1428657 75.6129 77.741563 86.0802796 96.3618046 120.176501
 15 0 15 9.90060185 14.7967259 26.555975 22.8071981 27.0000139 24.3810963 38.2414046 35.6243685 31.343275 38.3876204 45.4695444 41.6814815 6.88820093 19.6409352 29.1698222 40.8140185 35.3843056 34.5634648 41.4899435 47.1008491 35.6609843 39.9932546 48.0605444 43.5302231 54.7490907 49.0912296 54.3427611 54.2304259 61.1234481 57.5965324 59.9997056 62.8272583 65.6574787 70.0465713 66.9287787 78.9541204 76.1192778 78.1963148 86.2124435 96.9499694 120.740594
 15.5555556 0 15.5555556 9.38144167 14.3662352 26.5938991 22.809162 27.041375 24.3682167 38.7582694 35.9476241 31.37665 38.9232231 45.9081241 42.237037 5.83006111 19.1095389 28.8689444 40.9630546 35.2934611 34.5680093 41.986862 47.6384333 35.6735139 40.1118435 48.4452898 43.5897593 55.326613 49.5333861 54.6604741 54.6369454 61.5263454 58.0567444 60.2320056 63.368088 66.1261102 70.6927981 67.4852509 79.7660639 76.6274278 78.6423056 86.360163 97.5472972 121.318248
 16.1111111 0 16.1111111 8.86101574 13.9303 26.6293463 22.8110769 27.0814815 24.3564676 39.2715787 36.264675 31.4054685 39.460363 46.3226991 42.7925926 4.77011574 18.5772435 28.5542167 41.1033981 35.2078602 34.5722898 42.4890296 48.1769574 35.6853194 40.2253935 48.8150361 43.6439889 55.9019417 49.9742454 54.9780556 55.0521574 61.8917667 58.521212 60.4705102 63.9266676 66.5983648 71.3514065 68.0852519 80.5729815 77.1372611 79.0795787 86.5283028 98.1537806 121.909341
 16.6666667 0 16.6666667 8.33939722 13.4892593 26.6625491 22.8129426 27.1203972 24.3457287 39.7808417 36.5754583 31.4303389 39.9988759 46.7149815 43.3481481 3.70847037 18.0441 28.2262991 41.2355528 35.1275361 34.5763296 42.9958222 48.7163528 35.696463 40.3341481 49.1693722 43.6934917 56.4749778 50.4130509 55.2966917 55.4755583 62.225012 58.9897222 60.7152824 64.5010769 67.0740361 72.0229537 68.7229722 81.367088 77.6486963 79.5082083 86.7238528 98.7694157 122.513733
 17.2222222 0 17.2222222 7.8166537 13.043425 26.6937157 22.8147583 27.1581806 24.3358944 40.2854972 36.8799231 31.4517843 40.5386185 47.0868972 43.9037037 2.6452213 17.5101556 27.8858935 41.3600102 35.0523981 34.5801481 43.5067019 49.2565546 35.7069991 40.4383444 49.5079713 43.7387806 57.045625 50.8490694 55.6174287 55.9066565 62.5318157 59.4620667 60.9663731 65.0892944 67.5529361 72.7079769 69.3922935 82.1376667 78.1616556 79.9282935 86.9567852 99.3941944 123.131269
 17.7777778 0 17.7777778 7.29284444 12.5930833 26.7230269 22.8165269 27.1948852 24.3268713 40.7848954 37.1780278 31.4702519 41.0794676 47.4405444 44.4592593 1.58045463 16.9754546 27.5337194 41.4772463 34.9822713 34.5837648 44.0212056 49.7975065 35.7169778 40.5382074 49.8306157 43.7803028 57.6137954 51.2815889 55.9411565 56.3449759 62.8177361 59.9380509 61.2238241 65.6892556 68.0348852 73.4069741 70.0873861 82.8702963 78.6760648 80.3399611 87.2408324 100.028106 123.761774
 18.3333333 0 18.3333333 6.76802778 12.1384991 26.7506426 22.8182472 27.2305593 24.3185769 41.2782889 37.4697407 31.4861259 41.621313 47.7781704 45.0148148 0.514251852 16.440037 27.1704981 41.5877194 34.9169213 34.5871954 44.5389315 50.3391556 35.7264435 40.6339537 50.1372111 43.8184556 58.1794 51.7099074 56.268588 56.7900583 63.0878037 60.417487 61.4876667 66.2989093 68.5197185 74.1203898 70.8030519 83.5471 79.1918556 80.743362 87.5932389 100.67114 124.405061
 18.8888889 0.553312963 19.4422019 6.79556759 12.2332287 27.3300204 23.3732333 27.818563 24.8642528 42.3181306 38.3083509 32.0530509 42.7173722 48.6554565 46.1236833 0 16.4572537 27.3502491 42.2451787 35.4093944 35.1437667 45.6128454 51.4347676 36.2887472 41.2791028 50.9811111 44.4068981 59.2956685 52.6866444 57.1535611 57.7947806 63.8997065 61.4535065 62.311237 67.4695843 69.5605935 75.401913 72.0881491 84.7029972 80.2622769 81.6919843 88.5851278 101.876593 125.614238
 19.4444444 1.62217037 21.0666148 7.33774352 12.8397296 28.4235176 24.4437194 28.9211685 25.9260667 43.8656667 39.6560796 33.1335444 44.3297944 50.0371083 47.7480963 0 16.9893704 28.035887 43.4122694 36.4216352 36.2157241 47.2048769 53.0465315 37.3661574 42.4360843 52.3247278 45.5081704 60.9247472 54.1733407 58.5586472 59.3209593 65.2193954 63.0081722 63.6567796 69.1616398 71.1195972 77.2140704 73.9011954 86.2876843 81.8494981 83.1482556 90.1907343 103.606679 127.351321
 20 2.69225741 22.6922574 7.88028519 13.4438963 29.5169352 25.5153907 30.0241028 26.9896463 45.4054593 40.9986083 34.2135361 45.9441898 51.4113769 49.3737389 0 17.5221046 28.7137463 44.5750694 37.439037 37.2887639 48.8004472 54.6600917 38.4443907 43.5907694 53.6540639 46.6082269 62.552237 55.6549991 59.9696861 60.8538898 66.5356917 64.5670056 65.0099796 70.8590287 72.6822796 79.04275 75.7248204 87.7862852 83.4391491 84.5980769 91.8958213 105.347059 129.101767
 20.5555556 3.76351481 24.3190704 8.42317407 14.045862 30.6103139 26.5881898 31.1273417 28.0548843 46.9361824 42.335888 35.2931815 47.5604333 52.7808491 51.0005519 0 18.0554278 29.3843824 45.7338861 38.4612537 38.362837 50.3992676 56.2753528 39.5234167 44.7432769 54.9694981 47.7072463 64.1779935 57.1308769 61.3866065 62.3931435 67.8511731 66.1297963 66.3707713 72.5601343 74.2484528 80.8879926 77.5564657 89.2099833 85.0311139 86.0416259 93.68865 107.097651 130.865279
 21.1111111 4.83588796 25.9469991 8.96639352 14.6457537 31.7036917 27.662062 32.2308667 29.1216787 48.456375 43.6678824 36.3726102 49.178413 54.1481824 52.6284806 0 18.589313 30.0483167 46.8890102 39.4879519 39.4378981 52.0010824 57.8922259 40.6032074 45.8937194 56.2715213 48.8053861 65.801875 58.6002472 62.8091944 63.9383213 69.1680194 67.6963426 67.7390787 74.2635259 75.8179444 82.749737 79.3940398 90.5755611 86.625288 87.4791 95.5519315 108.858366 132.641554
 21.6666667 5.90932593 27.5759926 9.50992778 15.243687 32.7970991 28.7369593 33.3346583 30.1899417 49.9644519 44.9945685 37.4519324 50.798025 55.5160833 54.2574741 0 19.1237352 30.7060333 48.040713 40.5188167 40.5139056 53.6056611 59.5106306 41.6837352 47.0422065 57.5607139 49.9027815 67.4237407 60.0623963 64.237113 65.4890491 70.4880806 69.2664556 69.1148231 75.9679713 77.3905917 84.6278204 81.2358287 91.8992556 88.2215713 88.9107167 97.4689731 110.629119 134.430287
 22.2222222 6.98377963 29.2060019 10.053763 15.8397713 33.8905648 29.8128324 34.4387 31.259587 51.4587352 46.315938 38.5312389 52.4191741 56.8872713 55.8874833 0 19.6586704 31.3579843 49.1892472 41.5535537 41.5908176 55.2128 61.1304889 42.764975 48.1888407 58.8377222 50.9995528 69.0434509 61.5166333 65.6699306 67.0449787 71.8129389 70.8399593 70.4979185 77.6724324 78.9662417 86.5219833 83.0804213 93.1939917 89.8198713 90.336712 99.426437 112.409819 136.231169
 22.7777778 8.05920648 30.8369843 10.5978861 16.4341074 34.9841102 30.8896407 35.5429769 32.3305407 52.937512 47.6319935 39.6106093 54.0417759 58.2644222 57.5184657 0 20.1940981 32.0045843 50.3348481 42.591887 42.6685991 56.8223167 62.7517315 43.8469 49.3337213 60.1032343 52.0958009 70.6608648 62.9622954 67.1071426 68.6057861 73.1439574 72.4166843 71.8882704 79.3760611 80.5447528 88.4318713 84.9266519 94.4691778 91.4200991 91.7573398 101.414544 114.200377 138.04389
 23.3333333 9.13556296 32.4688963 11.1422833 17.0267898 36.0777556 31.9673417 36.6474731 33.4027306 54.3991083 48.9427528 40.6901083 55.6657509 59.6500944 59.1503778 0 20.7299972 32.6462176 51.4777352 43.633562 43.7472139 58.4340463 64.3742926 44.929488 50.4769398 61.3579611 53.1916176 72.2758407 64.3987593 68.5481991 70.1711685 74.4823093 73.996475 73.2857806 81.0781806 82.1259898 90.35705 86.7735556 95.7314296 93.0221731 93.1728667 103.426344 116.000695 139.868136
 23.8888889 10.2128102 34.1016991 11.6869435 17.6179074 37.1715185 33.0458981 37.7521769 34.4760935 55.8419889 50.2482407 41.7697889 57.2910259 61.0466315 60.7831806 0 21.2663491 33.2832361 52.6181093 44.6783444 44.8266278 60.0478398 65.9981093 46.0127157 51.6185852 62.6026167 54.2870806 73.888237 65.82545 69.9925194 71.7408444 75.8290009 75.5791815 74.6903426 82.778275 83.7098287 92.2970176 88.6203259 96.9853769 94.6260148 94.583575 105.456911 117.810679 141.703598
 24.4444444 11.290912 35.7353565 12.2318556 18.2075417 38.2654111 34.125275 38.857075 35.5505685 57.2648667 51.5484972 42.8496991 58.9175333 62.4560556 62.416838 0 21.8031361 33.9159639 53.7561583 45.7260167 45.9068102 61.6635639 67.623125 47.096562 52.7587407 63.8379065 55.3822602 75.4979056 67.2418519 71.4395111 73.3145546 77.1848898 77.1646639 76.1018454 84.4759676 85.29615 94.2512148 90.4662898 98.2342917 96.2315509 95.9897583 107.502707 119.630223 143.549964
 25 12.3698333 37.3698333 12.7770093 18.7957713 39.3594472 35.205437 39.9621574 36.6261 58.666812 52.8435676 43.929875 60.5452111 63.8799685 64.0513148 0 22.3403417 34.5447 54.8920556 46.7763806 46.9877315 63.2810954 69.2492861 48.1810065 53.897487 65.0645111 56.4772148 77.1046981 68.6475204 72.8885843 74.8920556 78.5506889 78.7527926 77.5201731 86.1710019 86.8848435 96.2190398 92.3108824 99.4805287 97.838713 97.3917222 109.561144 121.459223 145.406925
 25.5555556 13.4495417 39.0050972 13.3223954 19.3826676 40.4536361 36.2863546 41.067413 37.702638 60.047325 54.1335111 45.0103481 62.1740028 65.3194741 65.6865787 0 22.87795 35.1697176 56.0259611 47.8292546 48.0693639 64.9003241 70.8765417 49.2660287 55.0348972 66.2830833 57.5719981 78.708463 70.0420907 74.3391593 76.4731222 79.9269769 80.3434407 78.9452019 87.8632222 88.4758037 98.1998667 94.1536306 100.72582 99.4474343 98.7897815 111.630281 123.297568 147.274175
 26.1111111 14.5300056 40.6411167 13.8680037 19.9682991 41.5479861 37.3679972 42.1728315 38.7801333 61.4063806 55.4183907 46.0911444 63.8038546 66.7751481 67.3225981 0 23.4159454 35.7912657 57.1580213 48.8844722 49.1516815 66.5211491 72.5048444 50.3516102 56.1710426 67.494237 58.6666556 80.3090426 71.4252861 75.7906759 78.0575463 81.3141963 81.9364935 80.3768065 89.5525565 90.0689333 100.19305 95.9941352 101.971469 101.057654 100.184262 113.708634 125.145141 149.15141
 26.6666667 15.6111972 42.2778639 14.4138269 20.5527306 42.6425037 38.450337 43.2784056 39.8585417 62.744413 56.6982815 47.1722852 65.4347157 68.2470546 68.9593454 0 23.9543148 36.4095769 58.2883741 49.9418787 50.2346574 68.1434769 74.13415 51.4377333 57.3059898 68.69855 59.7612278 81.9062778 72.7969231 77.2425944 79.6451315 82.7126667 83.5318398 81.8148546 91.2389972 91.664138 102.197941 97.8320639 103.218475 102.669312 101.575494 115.795044 127.001822 151.038332
 27.2222222 16.693088 43.9153102 14.9598556 21.1360194 43.7371954 39.5333463 44.3841259 40.9378213 64.0622565 57.9732611 48.2537861 67.0665407 69.7348074 70.5967917 0 24.4930444 37.024863 59.4171435 51.0013343 51.3182694 69.7672241 75.7644176 52.5243806 58.4398019 69.8965583 60.8557491 83.5000009 74.1569148 78.6944028 81.2357 84.1225769 85.129375 83.259212 92.9225907 93.2613306 104.213894 99.667138 104.467628 104.282354 102.963821 117.888583 128.867487 152.934647
 27.7777778 17.7756528 45.5534306 15.5060833 21.718225 44.8320657 40.6170019 45.4899852 42.0179343 65.3610583 59.2434176 49.3356611 68.699287 71.2376667 72.234912 0 25.0321231 37.6373176 60.5444472 52.0627102 52.4024944 71.392312 77.3956056 53.6115343 59.5725389 71.0887602 61.9502509 85.0900417 75.5052694 80.1456157 82.8290815 85.5440037 86.7290009 84.7097407 94.6034204 94.8604287 106.240281 101.499125 105.719562 105.896727 104.349589 119.9885 130.742005 154.840063
 28.3333333 18.8588667 47.1922 16.0525028 22.2993981 45.9271185 41.7012796 46.5959769 43.0988444 66.6421704 60.5088407 50.4179204 70.332913 72.7546444 73.8736815 0 25.571537 38.2471222 61.6703898 53.1258889 53.4873111 73.0186694 79.0276796 54.6991806 60.7042556 72.275612 63.0447602 86.6762259 76.842088 81.5957741 84.4251213 86.9769093 88.3306259 86.1663 96.2815972 96.4613528 108.276487 103.327835 106.974798 107.512381 105.733149 122.09417 132.625241 156.754296
 28.8888889 19.9427056 48.8315944 16.5991065 22.8795898 47.0223556 42.7861565 47.7020935 44.1805176 67.9070556 61.7696269 51.5005704 71.9673815 74.2846139 75.5130759 0 26.1112759 38.8544407 62.7950722 54.190762 54.5726991 74.6462296 80.6606028 55.7873028 61.8350046 73.4575343 64.1392991 88.2583713 78.1675556 83.0444481 86.0236731 88.4211602 89.934162 87.6287472 97.9572537 98.0640306 110.321921 105.153112 108.233775 109.129269 107.114861 124.205074 134.517056 158.677069
